National Aeronautics and Space Administration,national-aeronautics-and-space-administration,yes,http://socialforms.nasa.gov/foia
Ames Research Center,national-aeronautics-and-space-administration--ames-research-center,yes,http://socialforms.nasa.gov/foia
Dryden Flight Research Center,national-aeronautics-and-space-administration--dryden-flight-research-center,yes,http://socialforms.nasa.gov/foia
Glenn Research Center,national-aeronautics-and-space-administration--glenn-research-center,yes,http://socialforms.nasa.gov/foia
Johnson Space Center,national-aeronautics-and-space-administration--johnson-space-center,yes,http://socialforms.nasa.gov/foia
Langley Research Center,national-aeronautics-and-space-administration--langley-research-center,yes,http://socialforms.nasa.gov/foia
NASA Shared Service Center (NSSC),national-aeronautics-and-space-administration--nasa-shared-service-center-nssc,yes,http://socialforms.nasa.gov/foia
Stennis Space Center,national-aeronautics-and-space-administration--stennis-space-center,yes,http://socialforms.nasa.gov/foia
Agency for Toxic Substances and Disease Registry,department-of-health-and-human-services--agency-for-toxic-substances-and-disease-registry,yes,http://www.cdc.gov/od/foia/request/index.htm
Department of Homeland Security,department-of-homeland-security,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Directorate for National Protection and Programs,department-of-homeland-security--directorate-for-national-protection-and-programs,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Office for Civil Rights and Civil Liberties,department-of-homeland-security--office-for-civil-rights-and-civil-liberties,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Office of Biometric Identity Management,department-of-homeland-security--office-of-biometric-identity-management,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Office of Intelligence & Analysis,department-of-homeland-security--office-of-intelligence-analysis,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Office of Operations Coordination and Planning,department-of-homeland-security--office-of-operations-coordination-and-planning,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Office of the Inspector General,department-of-homeland-security--office-of-the-inspector-general,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Science & Technology Directorate,department-of-homeland-security--science-technology-directorate,yes,http://www.dhs.gov/dhs-foia-request-submission-form
Central Intelligence Agency,central-intelligence-agency,yes,http://www.foia.cia.gov/foia_request/form
National Highway Traffic Safety Administration,department-of-transportation--national-highway-traffic-safety-administration,yes,http://www.nhtsa.gov/FOIA
Nuclear Regulatory Commission,nuclear-regulatory-commission,yes,http://www.nrc.gov/reading-rm/foia/foia-submittal-form.html
U.S. Special Operations Command,department-of-defense--us-special-operations-command,yes,http://www.socom.mil/FOIA/Pages/Request.aspx
U.S. Southern Command,department-of-defense--us-southern-command,yes,http://www.southcom.mil/foia/Pages/File-FOIA-Request.aspx
U.S. Transportation Command,department-of-defense--us-transportation-command,yes,http://www.transcom.mil/foia/requestform.cfm
Peace Corps,peace-corps,yes,https://cwppc.secureprtportal.com/
Main Office,peace-corps--main-office,yes,https://cwppc.secureprtportal.com/
Office of the Inspector General,peace-corps--office-of-the-inspector-general,yes,https://cwppc.secureprtportal.com/
Animal & Plant Health Inspection,department-of-agriculture--animal-plant-health-inspection,yes,https://efoia-pal.usda.gov/palMain.aspx
"Food, Nutrition & Consumer Services",department-of-agriculture--food-nutrition-consumer-services,yes,https://efoia-pal.usda.gov/palMain.aspx
Food Safety & Inspection Service,department-of-agriculture--food-safety-inspection-service,yes,https://efoia-pal.usda.gov/palMain.aspx
Foreign Agricultural Service,department-of-agriculture--foreign-agricultural-service,yes,https://efoia-pal.usda.gov/palMain.aspx
"Grain Inspection, Packers & Stockyards Administration",department-of-agriculture--grain-inspection-packers-stockyards-administration,yes,https://efoia-pal.usda.gov/palMain.aspx
National Appeals Division,department-of-agriculture--national-appeals-division,yes,https://efoia-pal.usda.gov/palMain.aspx
National Finance Center,department-of-agriculture--national-finance-center,yes,https://efoia-pal.usda.gov/palMain.aspx
Natural Resources Conservation Service,department-of-agriculture--natural-resources-conservation-service,yes,https://efoia-pal.usda.gov/palMain.aspx
Office of Budget & Program Analysis,department-of-agriculture--office-of-budget-program-analysis,yes,https://efoia-pal.usda.gov/palMain.aspx
Office of Civil Rights,department-of-agriculture--office-of-civil-rights,yes,https://efoia-pal.usda.gov/palMain.aspx
